"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""1636631165""","=""anwu1122""","=""18026908640584188""","=""@floccc_ @casper_yuhan @j1110_y  我抽個講""","=""https://www.instagram.com/anwu1122""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/420677556_399573605858449_2836816752506515005_n.jpg""","=""10/15/2024, 11:42:32 PM"""
"=""16585072926""","=""_yuzeng_""","=""18068883103615043""","=""@yanqi1167 @isaki_yuan.yuan @yan_tu_0921 帶我去看展""","=""https://www.instagram.com/_yuzeng_""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/457379659_1021038866398623_5680808287422132033_n.jpg""","=""10/15/2024, 11:42:52 PM"""
"=""646877622""","=""err0r_1n_ca1cu1ati0n""","=""18056559130833198""","=""@libosyuan_0511 @genius_fen 抽""","=""https://www.instagram.com/err0r_1n_ca1cu1ati0n""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/343611626_606579101519600_4613927753440439382_n.jpg""","=""10/15/2024, 11:49:07 PM"""
"=""230830952""","=""boomshoo""","=""18039172109512036""","=""@imfatpei @pammyshih @asaa666""","=""https://www.instagram.com/boomshoo""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/348251839_1196030074442187_2672336734973189305_n.jpg""","=""10/15/2024, 11:51:10 PM"""
"=""38881103493""","=""inaismy_wife""","=""18341426278133472""","=""@chen_takodachi_wah  @tim_mo__ya  @sophia.liu.5602""","=""https://www.instagram.com/inaismy_wife""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/457172858_1658366864940982_8056965804618700944_n.jpg""","=""10/15/2024, 11:53:02 PM"""
"=""44760959107""","=""chen_takodachi_wah""","=""17907489465021536""","=""@inaismy_wife @sophia.liu.5602 @andrea22785152""","=""https://www.instagram.com/chen_takodachi_wah""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/356231276_654541096562995_268091936202546851_n.jpg""","=""10/15/2024, 11:55:48 PM"""
"=""1142313187""","=""akiandyoriko""","=""18020510267548822""","=""@me1me1wa @lavender_silly1007 @a2ly___ 好康道相報🙂‍↕️""","=""https://www.instagram.com/akiandyoriko""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/460721411_1261291448203263_5029479367577241581_n.jpg""","=""10/16/2024, 12:02:51 AM"""
"=""56804370333""","=""67uzq""","=""18032899748351195""","=""@chiang_hn @yuan_yi__o0 @ky1zzy_""","=""https://www.instagram.com/67uzq""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/456703310_806428045036750_6127434064193268895_n.jpg""","=""10/16/2024, 12:13:21 AM"""
"=""9417378563""","=""uztuynehc""","=""17992351250708979""","=""@w_i_z_1 @last.danceee @yxilooov 大推特推""","=""https://www.instagram.com/uztuynehc""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/461727576_3972813949615361_5649671080946944142_n.jpg""","=""10/16/2024, 12:26:11 AM"""
"=""466612682""","=""chi.cmc""","=""18045039503061836""","=""@chilly_is_me @pin_boxes @estherlh2024 🙌❤️""","=""https://www.instagram.com/chi.cmc""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/463098251_843973267905582_9086429080723547024_n.jpg""","=""10/16/2024, 12:48:55 AM"""
"=""45741955076""","=""i_want_chickenrice""","=""18013025834359004""","=""@cpc.npc @_nahz_k @njimagi 看展""","=""https://www.instagram.com/i_want_chickenrice""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/419327650_947665456778196_1709506818243894624_n.jpg""","=""10/16/2024, 12:52:32 AM"""
"=""8605086522""","=""_cpz_73""","=""18130372132374581""","=""@yusyuan_weng @__mmmmmelissa @kcuflee 好想看展欸""","=""https://www.instagram.com/_cpz_73""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/459991889_2084969328640498_7566309661485067605_n.jpg""","=""10/16/2024, 1:39:23 AM"""
"=""440357034""","=""c_ylx_""","=""18035952773193156""","=""@nerobnehc @jasmine_jieyu @wendyamy123 今年也要看꜀( ꜆ᐢ. ̫.ᐢ)꜆""","=""https://www.instagram.com/c_ylx_""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/413943239_3191645821142005_2447626964224072191_n.jpg""","=""10/16/2024, 1:42:12 AM"""
"=""17842955523""","=""youkuo_77""","=""17912922047921027""","=""@at1e5.d_n @unkuochianaxl @_chiaooo._1010""","=""https://www.instagram.com/youkuo_77""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/316616540_820446349014061_5199243072507539592_n.jpg""","=""10/16/2024, 1:45:18 AM"""
